trial,state,value,lr,change_penalty,massive_reward,early_finish_bonus,success_rate_std_pct,total_change_pct,total_change_std_pct,empty_before_pct,empty_before_std_pct,empty_after_pct,empty_after_std_pct,net_empty_change_pct,net_empty_change_std_pct
13,TrialState.COMPLETE,100.0,1.3367353609965006e-06,4.007009984111148,114.39325191458785,30.886618335355582,0.0,66.1738708615303,1.992460564262432,32.568710297346115,1.7777968916635372,55.655328929424286,2.4525830397841593,23.08661863207817,1.6370656603562697
14,TrialState.COMPLETE,100.0,1.185191112458718e-06,1.8854260761706056,85.95201188543396,28.974167075730602,0.0,66.49424880743027,3.4091105919802738,33.10083448886871,2.9771006667447955,54.74931746721268,4.031000570873341,21.648482978343964,6.0229149350042634
15,TrialState.COMPLETE,100.0,1.475977209249438e-06,4.0878731882735835,198.3104904090364,19.623660432404392,0.0,68.45948100090027,3.2735050581725567,33.01359564065933,1.1527256549253089,53.9248913526535,3.419969216140109,20.91129571199417,3.1351556012656983
16,TrialState.COMPLETE,100.0,1.1527417067364626e-06,4.821435006783116,177.49761945453216,48.990024279696144,0.0,63.6392742395401,5.880274051412497,33.31746309995651,2.007997519191076,54.97904270887375,2.7190905477288587,21.661579608917236,3.1597376558727337
17,TrialState.COMPLETE,100.0,4.047478159335583e-06,1.192464662172679,168.11170416110218,48.066466781149366,0.0,66.4272129535675,1.7889004380947688,33.88420566916466,2.169179783651151,52.66852378845215,3.0180235960872652,18.78431811928749,2.8548583722088647
18,TrialState.COMPLETE,100.0,3.260284582706148e-06,2.848852895091826,159.19096657346324,13.82551890168044,0.0,67.07024276256561,2.0255427988927335,31.0536440461874,4.8334881998496275,54.32598441839218,4.026852833878497,23.27234037220478,8.810509228553043
19,TrialState.COMPLETE,100.0,1.0205194580181669e-05,3.1761467399195276,139.6196589514746,13.318934911775038,0.0,64.90199863910675,2.060037310727385,30.183549970388412,1.6416520748533012,57.6323077082634,4.235109641085457,27.448757737874985,5.153861488825995
20,TrialState.COMPLETE,100.0,8.380507736202547e-06,0.6757206122466325,125.46790934787299,26.489732270724716,0.0,67.53629744052887,1.2552417156513092,36.17011234164238,4.638217720792087,55.219075083732605,3.4149268554310543,19.048962742090225,7.125616508091126
21,TrialState.COMPLETE,100.0,3.061629069574175e-05,1.7644917001874834,191.85357441366097,30.229531223968227,0.0,52.922044694423676,1.6241673644265358,32.42982625961304,1.668945580435802,28.243492543697357,2.806989277885657,-4.18633371591568,1.7092835475559371
22,TrialState.COMPLETE,100.0,4.155710607459506e-06,4.621187830792932,98.12415205279413,21.22250737275737,0.0,66.57652109861374,1.279878609868815,33.49884822964668,2.1112398938567707,53.22100222110748,1.3147079607866439,19.7221539914608,2.3047245832701084
