Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch  75/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8731) | Train Consistent: 135/800 (16.9%) | Test Loss: 0.0015 (KL 0.0007 CE 0.8670) | Test Consistent: 199/200 (99.5%)
Epoch  76/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8784) | Train Consistent: 130/800 (16.2%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8793) | Test Consistent: 200/200 (100.0%)
Epoch  77/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8882) | Train Consistent: 125/800 (15.6%) | Test Loss: 0.0018 (KL 0.0010 CE 0.8601) | Test Consistent: 200/200 (100.0%)
Epoch  78/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0008 CE 0.8844) | Train Consistent: 138/800 (17.2%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8869) | Test Consistent: 200/200 (100.0%)
Epoch  79/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8779) | Train Consistent: 139/800 (17.4%) | Test Loss: 0.0018 (KL 0.0010 CE 0.8640) | Test Consistent: 200/200 (100.0%)
Epoch  80/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8863) | Train Consistent: 114/800 (14.2%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8637) | Test Consistent: 200/200 (100.0%)
Epoch  81/100 | Stage max M: 20 | Train Loss: 0.0018 (KL 0.0009 CE 0.9042) | Train Consistent: 82/800 (10.2%) | Test Loss: 0.0014 (KL 0.0005 CE 0.9035) | Test Consistent: 200/200 (100.0%)
Epoch  82/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8831) | Train Consistent: 124/800 (15.5%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8545) | Test Consistent: 200/200 (100.0%)
Epoch  83/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8804) | Train Consistent: 145/800 (18.1%) | Test Loss: 0.0016 (KL 0.0008 CE 0.8703) | Test Consistent: 200/200 (100.0%)
Epoch  84/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8869) | Train Consistent: 123/800 (15.4%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8836) | Test Consistent: 200/200 (100.0%)
Epoch  85/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8856) | Train Consistent: 126/800 (15.8%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8651) | Test Consistent: 200/200 (100.0%)
Epoch  86/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0008 CE 0.8871) | Train Consistent: 129/800 (16.1%) | Test Loss: 0.0015 (KL 0.0007 CE 0.8667) | Test Consistent: 200/200 (100.0%)
Epoch  87/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8753) | Train Consistent: 142/800 (17.8%) | Test Loss: 0.0017 (KL 0.0009 CE 0.8448) | Test Consistent: 200/200 (100.0%)
Epoch  88/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8927) | Train Consistent: 115/800 (14.4%) | Test Loss: 0.0016 (KL 0.0008 CE 0.8516) | Test Consistent: 200/200 (100.0%)
Epoch  89/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0008 CE 0.8826) | Train Consistent: 129/800 (16.1%) | Test Loss: 0.0016 (KL 0.0008 CE 0.8475) | Test Consistent: 200/200 (100.0%)
Epoch  90/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8781) | Train Consistent: 152/800 (19.0%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8508) | Test Consistent: 200/200 (100.0%)
Epoch  91/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0008 CE 0.8713) | Train Consistent: 132/800 (16.5%) | Test Loss: 0.0014 (KL 0.0005 CE 0.8499) | Test Consistent: 200/200 (100.0%)
Epoch  92/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8813) | Train Consistent: 121/800 (15.1%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8844) | Test Consistent: 200/200 (100.0%)
Epoch  93/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8784) | Train Consistent: 130/800 (16.2%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8713) | Test Consistent: 200/200 (100.0%)
Epoch  94/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8752) | Train Consistent: 163/800 (20.4%) | Test Loss: 0.0014 (KL 0.0005 CE 0.8789) | Test Consistent: 199/200 (99.5%)
Epoch  95/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8748) | Train Consistent: 140/800 (17.5%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8756) | Test Consistent: 200/200 (100.0%)
Epoch  96/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8809) | Train Consistent: 118/800 (14.8%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8878) | Test Consistent: 200/200 (100.0%)
Epoch  97/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8641) | Train Consistent: 128/800 (16.0%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8704) | Test Consistent: 200/200 (100.0%)
Epoch  98/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8826) | Train Consistent: 121/800 (15.1%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8729) | Test Consistent: 200/200 (100.0%)
Epoch  99/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8717) | Train Consistent: 151/800 (18.9%) | Test Loss: 0.0014 (KL 0.0006 CE 0.8502) | Test Consistent: 200/200 (100.0%)
Epoch 100/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8777) | Train Consistent: 137/800 (17.1%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8684) | Test Consistent: 200/200 (100.0%)
