Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch 127/1000 | Stage max M: 6 | Train Loss: 0.8043 | Train Consistent: 158/800 (19.8%) | Test Loss: 0.7901 | Test Consistent: 46/200 (23.0%)
Epoch 128/1000 | Stage max M: 6 | Train Loss: 0.8258 | Train Consistent: 136/800 (17.0%) | Test Loss: 0.7966 | Test Consistent: 42/200 (21.0%)
Epoch 129/1000 | Stage max M: 6 | Train Loss: 0.8016 | Train Consistent: 151/800 (18.9%) | Test Loss: 0.7660 | Test Consistent: 47/200 (23.5%)
Epoch 130/1000 | Stage max M: 6 | Train Loss: 0.7985 | Train Consistent: 166/800 (20.8%) | Test Loss: 0.7838 | Test Consistent: 40/200 (20.0%)
Epoch 131/1000 | Stage max M: 6 | Train Loss: 0.8092 | Train Consistent: 143/800 (17.9%) | Test Loss: 0.8053 | Test Consistent: 36/200 (18.0%)
Epoch 132/1000 | Stage max M: 6 | Train Loss: 0.8123 | Train Consistent: 156/800 (19.5%) | Test Loss: 0.7796 | Test Consistent: 46/200 (23.0%)
Epoch 133/1000 | Stage max M: 6 | Train Loss: 0.8056 | Train Consistent: 170/800 (21.2%) | Test Loss: 0.7583 | Test Consistent: 56/200 (28.0%)
Epoch 134/1000 | Stage max M: 6 | Train Loss: 0.8085 | Train Consistent: 165/800 (20.6%) | Test Loss: 0.7966 | Test Consistent: 39/200 (19.5%)
Epoch 135/1000 | Stage max M: 6 | Train Loss: 0.7842 | Train Consistent: 181/800 (22.6%) | Test Loss: 0.8150 | Test Consistent: 36/200 (18.0%)
Epoch 136/1000 | Stage max M: 6 | Train Loss: 0.7958 | Train Consistent: 164/800 (20.5%) | Test Loss: 0.7859 | Test Consistent: 40/200 (20.0%)
Epoch 137/1000 | Stage max M: 6 | Train Loss: 0.7915 | Train Consistent: 178/800 (22.2%) | Test Loss: 0.7741 | Test Consistent: 38/200 (19.0%)
Epoch 138/1000 | Stage max M: 6 | Train Loss: 0.7940 | Train Consistent: 170/800 (21.2%) | Test Loss: 0.8273 | Test Consistent: 35/200 (17.5%)
Epoch 139/1000 | Stage max M: 6 | Train Loss: 0.7920 | Train Consistent: 179/800 (22.4%) | Test Loss: 0.8217 | Test Consistent: 33/200 (16.5%)
Epoch 140/1000 | Stage max M: 6 | Train Loss: 0.7922 | Train Consistent: 170/800 (21.2%) | Test Loss: 0.7889 | Test Consistent: 52/200 (26.0%)
